run	tps	qps	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	308.80	6176.04	25.76	44.17	4.20	1861.71	NA	0.00
2	320.68	6413.61	24.54	6.67	4.12	2905.13	NA	0.00
3	314.07	6281.44	25.46	73.13	4.25	1404.74	NA	0.00
4	338.33	6766.62	23.50	38.25	4.23	1454.29	NA	0.00
5	334.81	6696.16	23.75	34.33	4.13	1749.13	NA	0.00
6	305.77	6115.33	26.16	61.08	4.23	2061.94	NA	0.00
7	298.96	5979.27	26.68	62.19	4.18	2798.69	NA	0.00
8	350.05	7001.04	22.73	26.68	4.36	1455.45	NA	0.00
9	289.23	5784.57	27.56	80.03	4.23	1793.27	NA	0.00
10	370.98	7419.53	21.56	6.79	4.16	1511.42	NA	0.00
