run	tps	qps	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	327.45	6548.96	24.21	6.79	4.16	2419.66	NA	0.00
2	336.89	6737.75	23.67	39.65	4.24	1481.00	NA	0.00
3	311.30	6226.00	25.43	44.17	4.11	2259.38	NA	0.00
4	371.13	7422.63	21.45	6.55	4.28	2621.66	NA	0.00
5	295.76	5915.13	27.05	59.99	4.17	1674.86	NA	0.00
6	368.11	7362.23	21.67	6.67	4.29	2395.58	NA	0.00
7	349.50	6989.91	22.87	7.04	4.25	2550.56	NA	0.00
8	287.87	5757.42	27.74	104.84	4.31	1507.45	NA	0.00
9	358.20	7163.93	22.33	18.61	4.13	1563.87	NA	0.00
10	294.60	5892.07	26.88	92.42	4.22	2941.78	NA	0.00
