run	tps	qps	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	419.34	8386.71	38.14	196.89	4.35	2590.04	NA	0.00
2	483.03	9660.69	33.12	189.93	4.29	1760.49	NA	0.00
3	400.20	8004.06	39.60	257.95	4.32	1844.16	NA	0.00
4	523.15	10462.93	30.51	102.97	4.37	1740.51	NA	0.00
5	450.93	9018.60	35.48	211.60	4.17	2242.89	NA	0.00
6	496.45	9928.96	32.07	161.51	4.23	2008.28	NA	0.00
7	501.85	10037.01	31.87	150.29	4.24	2618.14	NA	0.00
8	471.60	9431.90	33.50	170.48	4.33	1801.57	NA	0.00
9	449.58	8991.60	35.35	183.21	4.34	2487.46	NA	0.00
10	406.91	8138.19	39.23	223.34	4.35	6527.29	NA	0.00
