run	tps	qps	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	211.88	4237.64	18.88	5.37	4.22	1612.50	NA	0.00
2	205.11	4102.11	19.41	5.57	4.23	1493.59	NA	0.00
3	191.33	3826.68	20.90	5.57	4.20	1825.30	NA	0.00
4	194.79	3895.80	20.49	9.73	4.23	1391.66	NA	0.00
5	205.64	4112.76	19.45	5.37	4.18	1667.13	NA	0.00
6	197.05	3940.95	20.30	5.57	4.17	1354.48	NA	0.00
7	194.87	3897.49	20.41	5.47	4.35	1903.21	NA	0.00
8	207.89	4157.86	19.21	5.37	4.24	1864.14	NA	0.00
9	188.24	3764.81	21.18	5.47	4.27	2093.95	NA	0.00
10	213.85	4276.98	18.69	5.28	4.21	1444.73	NA	0.00
