run	tps	qps	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	507.61	10152.17	62.97	450.77	4.26	2628.08	NA	0.00
2	562.41	11248.27	56.88	397.39	4.34	2118.35	NA	0.00
3	607.33	12146.63	52.45	369.77	4.30	2021.66	NA	0.00
4	508.75	10174.93	62.85	450.77	4.33	2261.44	NA	0.00
5	491.20	9823.91	64.84	434.83	4.24	1991.37	NA	0.00
6	460.85	9217.02	69.40	475.79	4.16	1736.01	NA	0.00
7	621.76	12435.16	50.75	376.49	4.36	1786.85	NA	0.00
8	544.83	10896.65	58.73	404.61	4.35	1870.64	NA	0.00
9	562.90	11258.05	56.13	363.18	4.35	2099.42	NA	0.00
10	551.37	11027.41	57.99	427.07	4.37	2372.14	NA	0.00
