run	tps	qps	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	500.92	10018.46	63.41	458.96	4.33	2129.69	NA	0.00
2	543.87	10877.43	58.72	356.70	4.36	2627.68	NA	0.00
3	536.23	10724.70	58.67	397.39	4.29	3093.36	NA	0.00
4	585.93	11718.66	54.60	363.18	4.24	2094.60	NA	0.00
5	509.68	10193.62	62.63	442.73	4.32	2169.70	NA	0.00
6	593.93	11878.51	53.00	376.49	4.35	2505.96	NA	0.00
7	533.03	10660.60	59.61	427.07	4.35	1974.65	NA	0.00
8	658.51	13170.22	48.58	292.60	4.37	2949.72	NA	0.00
9	533.73	10674.51	58.94	411.96	4.31	2128.87	NA	0.00
10	433.31	8666.19	72.29	484.44	4.36	2085.25	NA	0.00
