EVENT_NAME	COUNT_STAR	SUM_WAIT_MS	AVG_WAIT_MS
wait/synch/sxlock/innodb/trx_purge_latch	5575253	3732.3035	0.00066944
wait/synch/mutex/innodb/log_files_mutex	5782	3430.5361	0.59331306
wait/synch/sxlock/innodb/hash_table_locks	17414160	2996.6836	0.00017208
wait/synch/mutex/innodb/lock_sys_page_mutex	1172834	2226.3161	0.00189824
wait/synch/mutex/innodb/trx_mutex	29710776	2022.2499	0.00006806
wait/synch/mutex/innodb/log_writer_mutex	11383	1551.8566	0.13633108
wait/synch/mutex/innodb/fil_system_mutex	6194963	1402.7238	0.00022643
wait/synch/mutex/innodb/lock_wait_mutex	82694	1365.9435	0.01651805
wait/synch/mutex/innodb/srv_sys_mutex	61286	563.6358	0.00919681
wait/synch/sxlock/innodb/index_tree_rw_lock	2767134	511.4141	0.00018482
wait/synch/sxlock/innodb/lock_sys_global_rw_lock	1192120	244.1279	0.00020478
wait/synch/mutex/innodb/undo_space_rseg_mutex	514609	201.6331	0.00039182
wait/synch/sxlock/innodb/log_sn_lock	1368990	139.8918	0.00010219
wait/synch/mutex/innodb/sync_array_mutex	234856	117.0859	0.00049854
wait/synch/mutex/innodb/trx_sys_mutex	331579	113.4114	0.00034203
wait/synch/mutex/innodb/trx_sys_shard_mutex	326866	55.1332	0.00016867
wait/synch/mutex/innodb/lock_sys_table_mutex	152282	52.9719	0.00034785
wait/synch/mutex/innodb/log_write_notifier_mutex	404025	37.9783	0.00009400
wait/synch/sxlock/innodb/rsegs_lock	116008	27.4986	0.00023704
wait/synch/mutex/innodb/dict_sys_mutex	456718	27.4256	0.00006005
wait/synch/mutex/innodb/trx_undo_mutex	304594	27.4085	0.00008998
wait/synch/mutex/innodb/purge_sys_pq_mutex	152277	25.3799	0.00016667
wait/synch/mutex/innodb/dict_table_mutex	304686	23.8741	0.00007836
wait/synch/sxlock/innodb/undo_spaces_lock	95649	23.4961	0.00024565
wait/synch/mutex/innodb/trx_sys_serialisation_mutex	152862	18.7319	0.00012254
wait/synch/mutex/innodb/autoinc_persisted_mutex	76035	16.3472	0.00021500
wait/synch/mutex/innodb/autoinc_mutex	76044	9.0237	0.00011866
wait/synch/mutex/innodb/buf_pool_flush_state_mutex	23044	7.6437	0.00033170
wait/synch/mutex/innodb/alter_stage_mutex	83020	5.8669	0.00007067
wait/synch/mutex/innodb/temp_space_rseg_mutex	26752	3.2409	0.00012115
wait/synch/mutex/innodb/flush_list_mutex	34910	3.0517	0.00008742
wait/synch/sxlock/innodb/fil_space_latch	18344	2.9571	0.00016120
wait/synch/mutex/innodb/log_governor_mutex	5619	1.8594	0.00033091
wait/synch/mutex/innodb/log_flush_notifier_mutex	11642	1.6388	0.00014077
wait/synch/mutex/innodb/parallel_read_mutex	150	1.6136	0.01075726
wait/synch/mutex/innodb/buf_pool_free_list_mutex	9340	1.1202	0.00011994
wait/synch/mutex/innodb/log_limits_mutex	5857	0.8929	0.00015245
wait/synch/mutex/innodb/dblwr_mutex	11572	0.8334	0.00007202
wait/synch/mutex/innodb/buf_pool_LRU_list_mutex	4893	0.3496	0.00007145
wait/synch/mutex/innodb/log_flusher_mutex	1092	0.1466	0.00013423
wait/synch/mutex/innodb/page_cleaner_mutex	362	0.0315	0.00008691
wait/synch/mutex/innodb/log_checkpointer_mutex	68	0.0284	0.00041739
wait/synch/mutex/innodb/row_drop_list_mutex	59	0.0260	0.00043997
wait/synch/mutex/innodb/recalc_pool_mutex	46	0.0156	0.00033815
wait/synch/mutex/innodb/ibuf_mutex	59	0.0096	0.00016315
wait/synch/mutex/innodb/trx_pool_mutex	94	0.0084	0.00008984
wait/synch/sxlock/innodb/dict_table_stats	64	0.0080	0.00012447
wait/synch/mutex/innodb/trx_pool_manager_mutex	47	0.0066	0.00014108
wait/synch/mutex/innodb/parser_mutex	40	0.0026	0.00006477
wait/synch/mutex/innodb/page_sys_arch_oper_mutex	8	0.0023	0.00028154
wait/synch/mutex/innodb/dict_persist_dirty_tables_mutex	8	0.0022	0.00026923
wait/synch/sxlock/innodb/dict_operation_lock	6	0.0013	0.00021048
wait/synch/mutex/innodb/srv_innodb_monitor_mutex	2	0.0007	0.00033078
wait/synch/mutex/innodb/innobase_share_mutex	1	0.0000	0.00004876
