run	tps	qps	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	574.63	11492.56	55.43	383.33	4.27	2054.51	NA	0.00
2	595.77	11915.50	53.06	363.18	4.34	1905.98	NA	0.00
3	475.92	9518.50	67.23	442.73	4.34	2544.86	NA	0.00
4	538.42	10768.45	58.40	427.07	4.36	2246.37	NA	0.00
5	588.59	11771.87	54.31	383.33	4.37	2370.86	NA	0.00
6	572.29	11445.80	55.83	350.33	4.30	2462.00	NA	0.00
7	522.44	10448.74	60.77	427.07	4.36	1872.42	NA	0.00
8	545.46	10909.26	58.23	419.45	4.25	2098.65	NA	0.00
9	571.88	11437.65	55.95	376.49	4.11	2079.60	NA	0.00
10	450.61	9012.21	70.94	475.79	4.18	2427.74	NA	0.00
