run	tps	qps	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	275.38	5507.62	28.82	110.66	4.24	2274.49	NA	0.00
2	343.12	6862.37	23.14	57.87	4.25	1422.23	NA	0.00
3	342.66	6853.12	23.22	37.56	4.14	1448.53	NA	0.00
4	360.18	7203.69	22.21	8.13	4.30	1739.94	NA	0.00
5	342.43	6848.69	23.10	8.90	4.24	2206.22	NA	0.00
6	317.94	6358.80	25.02	59.99	4.24	1547.53	NA	0.00
7	329.12	6582.43	24.31	44.17	4.35	1656.69	NA	0.00
8	349.97	6999.37	22.77	6.91	4.23	2301.00	NA	0.00
9	323.85	6476.91	24.70	62.19	4.26	1724.32	NA	0.00
10	347.62	6952.31	22.82	6.91	4.07	1722.43	NA	0.00
