run	tps	qps	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	457.02	9140.31	35.00	161.51	4.35	2007.49	NA	0.00
2	433.46	8669.26	36.70	196.89	4.36	2109.73	NA	0.00
3	501.85	10037.10	31.88	118.92	4.36	2632.77	NA	0.00
4	483.72	9674.45	33.05	186.54	4.32	1841.60	NA	0.00
5	446.69	8933.85	35.64	196.89	4.09	2261.33	NA	0.00
6	533.60	10671.94	29.87	112.67	4.34	2711.94	NA	0.00
7	497.64	9952.88	31.65	114.72	4.22	2034.19	NA	0.00
8	484.64	9692.71	32.94	132.49	4.22	2836.79	NA	0.00
9	461.19	9223.81	34.32	161.51	4.19	3100.46	NA	0.00
10	525.67	10513.35	30.26	102.97	4.25	1856.99	NA	0.00
