run	tps	qps	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	326.38	6527.64	24.51	45.79	4.24	2337.88	NA	0.00
2	335.47	6709.43	23.85	62.19	4.16	1605.66	NA	0.00
3	298.68	5973.67	26.61	87.56	4.22	2172.72	NA	0.00
4	346.15	6922.96	23.11	11.24	4.05	1987.70	NA	0.00
5	330.49	6609.86	24.08	49.21	4.16	1661.12	NA	0.00
6	328.46	6569.29	24.31	55.82	4.23	1896.51	NA	0.00
7	327.23	6544.62	24.36	51.02	4.21	2996.37	NA	0.00
8	289.88	5797.70	27.48	86.00	4.19	2064.89	NA	0.00
9	332.84	6656.71	23.82	38.94	4.21	2573.12	NA	0.00
10	328.47	6569.40	24.22	65.65	4.34	1549.30	NA	0.00
