run	tps	qps	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	202.39	4047.89	19.72	5.47	4.25	1615.64	NA	0.00
2	177.19	3543.74	22.57	13.95	4.23	1599.93	NA	0.00
3	204.23	4084.62	19.58	5.47	4.24	1258.45	NA	0.00
4	210.50	4209.91	18.81	5.37	4.27	1413.32	NA	0.00
5	190.33	3806.51	20.97	5.47	4.13	1248.02	NA	0.00
6	201.86	4037.16	19.80	5.37	4.25	1770.19	NA	0.00
7	206.77	4135.32	19.32	5.37	4.13	1422.25	NA	0.00
8	193.58	3871.55	20.66	5.37	4.30	1871.16	NA	0.00
9	207.00	4140.04	19.30	5.37	4.24	1884.76	NA	0.00
10	179.95	3598.98	22.23	5.47	4.32	2138.35	NA	0.00
