run	tps	qps	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	439.76	8795.16	36.06	219.36	4.29	1800.02	NA	0.00
2	472.98	9459.51	33.83	167.44	4.35	1784.40	NA	0.00
3	499.02	9980.39	31.78	161.51	4.22	1998.03	NA	0.00
4	430.51	8610.13	37.16	248.83	4.25	1734.54	NA	0.00
5	370.13	7402.63	43.23	308.84	4.21	1886.89	NA	0.00
6	465.13	9302.56	34.37	161.51	4.17	1813.89	NA	0.00
7	511.62	10232.37	31.27	87.56	4.30	2672.15	NA	0.00
8	426.95	8539.01	37.45	235.74	4.35	1570.54	NA	0.00
9	455.55	9111.04	35.00	196.89	4.27	2951.99	NA	0.00
10	452.69	9053.73	35.30	167.44	4.27	2273.95	NA	0.00
