run	tps	qps	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	334.23	6684.51	23.75	53.85	4.20	1634.72	NA	0.00
2	331.73	6634.68	24.06	34.33	4.22	1955.47	NA	0.00
3	340.09	6801.74	23.52	43.39	4.30	2646.82	NA	0.00
4	365.78	7315.51	21.86	12.98	4.29	1503.60	NA	0.00
5	325.19	6503.82	24.48	63.32	4.24	1698.25	NA	0.00
6	315.84	6316.89	25.01	63.32	4.31	2066.56	NA	0.00
7	340.17	6803.39	23.52	17.95	4.25	2102.82	NA	0.00
8	320.24	6404.71	24.98	66.84	4.28	2776.84	NA	0.00
9	312.29	6245.71	25.38	66.84	4.25	1913.21	NA	0.00
10	314.50	6290.08	25.40	54.83	4.16	1796.66	NA	0.00
