run	tps	qps	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	419.26	8385.22	38.16	253.35	4.32	2210.09	NA	0.00
2	464.81	9296.28	34.32	179.94	4.35	2489.25	NA	0.00
3	466.92	9338.40	34.04	176.73	4.31	1859.56	NA	0.00
4	413.32	8266.39	38.62	231.53	4.23	2215.70	NA	0.00
5	393.53	7870.60	40.21	277.21	4.35	2087.18	NA	0.00
6	396.61	7932.16	40.03	282.25	4.26	1628.65	NA	0.00
7	463.09	9261.84	34.32	176.73	4.31	1992.26	NA	0.00
8	422.60	8451.95	37.48	248.83	4.35	1682.82	NA	0.00
9	435.28	8705.54	36.73	215.44	4.35	1873.43	NA	0.00
10	424.59	8491.73	37.34	257.95	4.26	1740.47	NA	0.00
