run	tps	qps	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	456.59	9131.87	35.02	176.73	4.27	2257.66	NA	0.00
2	452.85	9056.97	35.04	173.58	4.09	1811.81	NA	0.00
3	410.94	8218.84	38.69	240.02	4.30	2622.90	NA	0.00
4	493.21	9864.15	32.27	176.73	4.07	2120.20	NA	0.00
5	486.14	9722.79	32.69	150.29	4.34	1651.29	NA	0.00
6	441.25	8825.04	36.25	215.44	4.35	2046.45	NA	0.00
7	485.04	9700.89	32.95	179.94	4.23	1588.34	NA	0.00
8	469.36	9387.13	33.78	189.93	4.11	2105.71	NA	0.00
9	390.89	7817.75	40.53	272.27	4.25	1993.05	NA	0.00
10	450.32	9006.34	35.11	179.94	4.20	2385.72	NA	0.00
