run	tps	qps	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	175.18	3503.63	22.70	75.82	4.30	1547.24	NA	0.00
2	180.27	3605.30	22.01	26.20	4.22	1422.46	NA	0.00
3	212.01	4240.26	18.82	5.28	4.14	1800.95	NA	0.00
4	217.81	4356.30	18.29	5.28	4.24	1421.11	NA	0.00
5	201.55	4030.92	19.83	5.28	4.16	1449.94	NA	0.00
6	193.11	3862.23	20.57	5.37	4.24	5637.90	NA	0.00
7	220.79	4415.78	18.12	5.28	4.21	1828.50	NA	0.00
8	192.68	3853.67	20.76	5.37	4.24	1572.92	NA	0.00
9	207.51	4150.11	19.28	5.37	4.23	1272.91	NA	0.00
10	212.38	4247.51	18.81	5.28	4.30	1523.14	NA	0.00
