run	tps	qps	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	595.16	11903.27	53.03	350.33	4.37	1908.94	NA	0.00
2	701.79	14035.89	45.19	287.38	4.30	1654.01	NA	0.00
3	622.24	12444.85	51.41	337.94	4.37	2674.69	NA	0.00
4	519.82	10396.33	61.55	411.96	4.20	2370.26	NA	0.00
5	572.62	11452.45	55.60	383.33	4.29	3175.30	NA	0.00
6	520.30	10405.98	60.70	442.73	4.31	2316.40	NA	0.00
7	582.74	11654.86	54.91	383.33	4.18	2463.34	NA	0.00
8	546.75	10934.97	57.63	404.61	4.36	2788.83	NA	0.00
9	537.39	10747.86	59.34	404.61	4.35	1866.73	NA	0.00
10	552.91	11058.11	57.74	411.96	4.38	2358.78	NA	0.00
