run	tps	qps	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	602.10	12041.91	52.67	383.33	4.35	2102.87	NA	0.00
2	515.83	10316.58	62.01	427.07	4.25	2537.04	NA	0.00
3	576.60	11532.04	55.09	383.33	4.35	2361.94	NA	0.00
4	699.54	13990.85	45.59	308.84	4.26	1830.04	NA	0.00
5	548.85	10976.93	58.28	411.96	4.22	2568.26	NA	0.00
6	541.18	10823.64	59.12	390.30	4.31	1681.41	NA	0.00
7	517.27	10345.44	61.03	419.45	4.35	2556.48	NA	0.00
8	560.33	11206.53	57.10	404.61	4.31	2861.00	NA	0.00
9	492.79	9855.79	64.93	442.73	4.36	2902.08	NA	0.00
10	603.28	12065.54	53.01	369.77	4.28	2672.16	NA	0.00
