run	tps	qps	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	440.29	8805.81	36.31	215.44	4.07	1989.95	NA	0.00
2	449.00	8979.95	35.61	200.47	4.14	1905.70	NA	0.00
3	482.98	9659.62	32.86	161.51	4.32	1754.34	NA	0.00
4	450.50	9010.00	35.30	193.38	4.26	2522.27	NA	0.00
5	410.74	8214.88	38.88	244.38	4.35	1884.93	NA	0.00
6	407.01	8140.11	39.21	253.35	4.35	2108.75	NA	0.00
7	469.53	9390.67	34.02	179.94	4.20	1719.89	NA	0.00
8	456.61	9132.21	34.78	193.38	4.30	1764.34	NA	0.00
9	455.47	9109.32	34.93	167.44	4.16	1988.27	NA	0.00
10	456.57	9131.46	34.81	179.94	4.34	1949.11	NA	0.00
