run	tps	qps	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	357.14	7142.77	22.31	6.67	4.17	1552.79	NA	0.00
2	334.14	6682.73	23.90	41.85	4.29	1864.44	NA	0.00
3	348.48	6969.64	22.96	41.10	4.14	1462.95	NA	0.00
4	343.53	6870.66	23.16	13.70	4.23	1829.32	NA	0.00
5	346.26	6925.16	22.93	9.39	4.18	1638.62	NA	0.00
6	352.10	7042.09	22.55	7.70	4.23	1729.69	NA	0.00
7	336.64	6732.77	23.46	36.89	4.20	1626.39	NA	0.00
8	319.60	6391.96	25.03	62.19	4.31	2686.84	NA	0.00
9	363.28	7265.59	22.01	6.67	4.09	1733.55	NA	0.00
10	310.00	6200.10	25.67	69.29	4.14	1454.73	NA	0.00
