EVENT_NAME	COUNT_STAR	SUM_WAIT_MS	AVG_WAIT_MS
wait/synch/sxlock/innodb/trx_purge_latch	5636446	3483.0560	0.00061795
wait/synch/mutex/innodb/log_files_mutex	5790	3094.8808	0.53452172
wait/synch/sxlock/innodb/hash_table_locks	17816523	3033.7259	0.00017028
wait/synch/mutex/innodb/trx_mutex	30096232	1856.1243	0.00006167
wait/synch/mutex/innodb/trx_sys_mutex	335291	1474.6953	0.00439826
wait/synch/mutex/innodb/lock_sys_page_mutex	1188599	1424.7053	0.00119864
wait/synch/mutex/innodb/log_writer_mutex	11756	1376.1747	0.11706148
wait/synch/mutex/innodb/fil_system_mutex	6307747	1289.3553	0.00020441
wait/synch/mutex/innodb/undo_space_rseg_mutex	520421	865.9359	0.00166391
wait/synch/sxlock/innodb/index_tree_rw_lock	2825105	619.5934	0.00021932
wait/synch/mutex/innodb/srv_sys_mutex	60602	496.9363	0.00820000
wait/synch/mutex/innodb/lock_wait_mutex	83979	287.2379	0.00342035
wait/synch/sxlock/innodb/lock_sys_global_rw_lock	1207666	266.3650	0.00022056
wait/synch/mutex/innodb/trx_pool_mutex	104	212.9566	2.04765934
wait/synch/sxlock/innodb/log_sn_lock	1387222	144.9867	0.00010452
wait/synch/mutex/innodb/sync_array_mutex	239295	115.4752	0.00048256
wait/synch/mutex/innodb/lock_sys_table_mutex	154254	74.0383	0.00047998
wait/synch/mutex/innodb/trx_sys_shard_mutex	331042	51.0849	0.00015432
wait/synch/mutex/innodb/log_flusher_mutex	970	43.1243	0.04445804
wait/synch/mutex/innodb/log_write_notifier_mutex	401271	42.2498	0.00010529
wait/synch/sxlock/innodb/fil_space_latch	38037	40.3631	0.00106115
wait/synch/mutex/innodb/dict_sys_mutex	462688	25.6477	0.00005543
wait/synch/sxlock/innodb/rsegs_lock	116413	25.3107	0.00021742
wait/synch/mutex/innodb/trx_undo_mutex	308534	24.8363	0.00008050
wait/synch/mutex/innodb/purge_sys_pq_mutex	154248	22.0145	0.00014272
wait/synch/sxlock/innodb/undo_spaces_lock	96350	20.2509	0.00021018
wait/synch/mutex/innodb/dict_table_mutex	308675	19.4986	0.00006317
wait/synch/mutex/innodb/autoinc_persisted_mutex	77036	17.1245	0.00022229
wait/synch/mutex/innodb/trx_sys_serialisation_mutex	154835	16.6268	0.00010738
wait/synch/mutex/innodb/autoinc_mutex	77045	12.0646	0.00015659
wait/synch/mutex/innodb/alter_stage_mutex	83020	5.9373	0.00007152
wait/synch/mutex/innodb/buf_pool_flush_state_mutex	22799	3.9996	0.00017543
wait/synch/mutex/innodb/buf_pool_free_list_mutex	50635	3.8588	0.00007621
wait/synch/mutex/innodb/flush_list_mutex	34537	3.2806	0.00009499
wait/synch/mutex/innodb/temp_space_rseg_mutex	26624	2.9246	0.00010985
wait/synch/mutex/innodb/buf_pool_LRU_list_mutex	27179	2.2349	0.00008223
wait/synch/mutex/innodb/log_governor_mutex	5618	1.8225	0.00032440
wait/synch/mutex/innodb/log_flush_notifier_mutex	11598	1.6902	0.00014573
wait/synch/mutex/innodb/parallel_read_mutex	150	1.4851	0.00990067
wait/synch/mutex/innodb/log_limits_mutex	5859	0.8535	0.00014568
wait/synch/mutex/innodb/dblwr_mutex	11453	0.7288	0.00006363
wait/synch/mutex/innodb/trx_pool_manager_mutex	52	0.0711	0.00136805
wait/synch/mutex/innodb/page_cleaner_mutex	362	0.0447	0.00012361
wait/synch/mutex/innodb/log_checkpointer_mutex	67	0.0247	0.00036839
wait/synch/mutex/innodb/row_drop_list_mutex	60	0.0227	0.00037781
wait/synch/mutex/innodb/recalc_pool_mutex	43	0.0139	0.00032297
wait/synch/mutex/innodb/ibuf_mutex	60	0.0126	0.00021054
wait/synch/mutex/innodb/ibuf_bitmap_mutex	74	0.0113	0.00015318
wait/synch/sxlock/innodb/dict_table_stats	66	0.0081	0.00012245
wait/synch/mutex/innodb/parser_mutex	48	0.0032	0.00006636
wait/synch/mutex/innodb/dict_persist_dirty_tables_mutex	8	0.0023	0.00028381
wait/synch/mutex/innodb/innobase_share_mutex	16	0.0022	0.00013844
wait/synch/mutex/innodb/page_sys_arch_oper_mutex	8	0.0017	0.00021606
wait/synch/sxlock/innodb/dict_operation_lock	8	0.0013	0.00015738
wait/synch/mutex/innodb/srv_innodb_monitor_mutex	2	0.0006	0.00029636
