run	tps	qps	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	310.91	6218.20	25.73	80.03	4.29	1723.66	NA	0.00
2	300.61	6012.25	26.50	69.29	4.28	2504.70	NA	0.00
3	295.79	5915.84	27.03	73.13	4.20	1748.74	NA	0.00
4	320.28	6405.67	24.75	40.37	4.21	2224.44	NA	0.00
5	330.32	6606.41	24.22	56.84	4.28	1662.15	NA	0.00
6	325.87	6517.40	24.53	49.21	4.15	1912.65	NA	0.00
7	310.12	6202.40	25.66	70.55	4.33	1711.07	NA	0.00
8	352.18	7043.59	22.41	23.10	4.24	2016.70	NA	0.00
9	338.80	6776.09	23.61	18.95	4.20	1516.34	NA	0.00
10	303.99	6079.79	26.31	78.60	4.25	1555.99	NA	0.00
