run	tps	qps	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	472.30	9446.00	33.87	189.93	4.29	2443.39	NA	0.00
2	470.98	9419.69	33.92	167.44	4.20	2325.38	NA	0.00
3	494.30	9886.10	32.37	106.75	4.28	2359.94	NA	0.00
4	424.84	8496.80	37.31	231.53	4.10	1825.89	NA	0.00
5	495.46	9909.26	32.11	150.29	4.33	1671.52	NA	0.00
6	447.41	8948.11	35.59	196.89	4.36	2385.73	NA	0.00
7	480.58	9611.62	32.79	179.94	4.33	1601.88	NA	0.00
8	472.49	9449.85	33.81	150.29	4.08	2855.36	NA	0.00
9	444.12	8882.40	35.77	189.93	4.32	2038.22	NA	0.00
10	393.28	7865.64	40.68	253.35	4.27	2211.20	NA	0.00
