run	tps	qps	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	193.08	3861.63	20.55	36.89	4.19	1435.39	NA	0.00
2	215.19	4303.79	18.53	5.28	4.22	1420.96	NA	0.00
3	209.07	4181.37	19.13	5.37	4.17	1389.10	NA	0.00
4	214.01	4280.19	18.62	5.37	4.16	1220.01	NA	0.00
5	211.22	4224.31	18.94	5.28	4.16	1849.62	NA	0.00
6	211.60	4231.92	18.84	5.28	4.31	1527.97	NA	0.00
7	207.79	4155.74	19.15	5.28	4.17	1456.59	NA	0.00
8	211.26	4225.25	18.79	5.28	4.23	1614.23	NA	0.00
9	199.41	3988.10	20.03	5.37	4.22	1497.40	NA	0.00
10	201.96	4039.14	19.74	5.37	4.14	1443.81	NA	0.00
