run	tps	qps	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	425.22	8504.48	37.41	219.36	4.36	1739.76	NA	0.00
2	440.21	8804.26	36.26	196.89	4.35	3539.57	NA	0.00
3	486.54	9730.82	32.47	130.13	4.34	2946.47	NA	0.00
4	446.90	8938.05	35.49	196.89	4.13	2093.93	NA	0.00
5	434.69	8693.83	36.63	223.34	4.33	2768.84	NA	0.00
6	516.60	10332.00	30.80	132.49	4.34	1650.93	NA	0.00
7	457.62	9152.37	34.95	170.48	4.24	2054.91	NA	0.00
8	455.17	9103.36	35.12	144.97	4.32	3638.19	NA	0.00
9	488.32	9766.44	32.68	130.13	4.34	2481.09	NA	0.00
10	436.86	8737.27	36.34	248.83	4.20	1515.08	NA	0.00
