EVENT_NAME	COUNT_STAR	SUM_WAIT_MS	AVG_WAIT_MS
wait/synch/sxlock/innodb/hash_table_locks	20209793	3306.8280	0.00016363
wait/synch/mutex/innodb/log_files_mutex	5755	3174.8079	0.55166080
wait/synch/sxlock/innodb/trx_purge_latch	6463964	2262.4413	0.00035001
wait/synch/mutex/innodb/trx_mutex	34270009	2034.6820	0.00005937
wait/synch/mutex/innodb/log_writer_mutex	14389	1423.7560	0.09894753
wait/synch/mutex/innodb/lock_sys_page_mutex	1344973	1317.7637	0.00097977
wait/synch/mutex/innodb/fil_system_mutex	7176905	906.2286	0.00012627
wait/synch/sxlock/innodb/index_tree_rw_lock	3224749	632.0454	0.00019600
wait/synch/sxlock/innodb/lock_sys_global_rw_lock	1369233	525.9223	0.00038410
wait/synch/mutex/innodb/trx_sys_mutex	380852	500.3236	0.00131370
wait/synch/mutex/innodb/sync_array_mutex	1807036	468.9817	0.00025953
wait/synch/mutex/innodb/undo_space_rseg_mutex	591082	444.8034	0.00075252
wait/synch/mutex/innodb/lock_wait_mutex	89505	195.8967	0.00218867
wait/synch/sxlock/innodb/log_sn_lock	1575249	143.1066	0.00009085
wait/synch/mutex/innodb/trx_sys_serialisation_mutex	175787	91.6563	0.00052141
wait/synch/mutex/innodb/lock_sys_table_mutex	175202	70.7086	0.00040358
wait/synch/mutex/innodb/srv_sys_mutex	64848	63.2657	0.00097560
wait/synch/mutex/innodb/trx_sys_shard_mutex	374298	49.8406	0.00013316
wait/synch/mutex/innodb/log_write_notifier_mutex	398377	40.7355	0.00010225
wait/synch/mutex/innodb/log_flusher_mutex	870	34.1234	0.03922225
wait/synch/mutex/innodb/dict_sys_mutex	525359	30.0888	0.00005727
wait/synch/mutex/innodb/trx_undo_mutex	350427	27.2911	0.00007788
wait/synch/sxlock/innodb/rsegs_lock	128682	27.1814	0.00021123
wait/synch/mutex/innodb/dict_table_mutex	350482	24.3075	0.00006935
wait/synch/mutex/innodb/purge_sys_pq_mutex	175195	24.2773	0.00013857
wait/synch/sxlock/innodb/undo_spaces_lock	107659	23.3531	0.00021692
wait/synch/mutex/innodb/autoinc_persisted_mutex	87457	15.6949	0.00017946
wait/synch/mutex/innodb/autoinc_mutex	87466	12.3721	0.00014145
wait/synch/sxlock/innodb/fil_space_latch	20598	6.3935	0.00031039
wait/synch/mutex/innodb/alter_stage_mutex	83020	5.3734	0.00006472
wait/synch/mutex/innodb/buf_pool_flush_state_mutex	22898	3.8470	0.00016801
wait/synch/mutex/innodb/flush_list_mutex	34783	3.1915	0.00009175
wait/synch/mutex/innodb/temp_space_rseg_mutex	30208	2.7583	0.00009131
wait/synch/mutex/innodb/parallel_read_mutex	150	1.8597	0.01239792
wait/synch/mutex/innodb/log_governor_mutex	5587	1.5082	0.00026994
wait/synch/mutex/innodb/log_flush_notifier_mutex	11277	1.4426	0.00012792
wait/synch/mutex/innodb/buf_pool_free_list_mutex	10370	1.3756	0.00013265
wait/synch/mutex/innodb/log_limits_mutex	5841	0.8606	0.00014733
wait/synch/mutex/innodb/dblwr_mutex	11509	0.6943	0.00006032
wait/synch/mutex/innodb/buf_pool_LRU_list_mutex	5337	0.3731	0.00006991
wait/synch/mutex/innodb/page_cleaner_mutex	356	0.0334	0.00009378
wait/synch/mutex/innodb/log_checkpointer_mutex	68	0.0224	0.00033006
wait/synch/mutex/innodb/row_drop_list_mutex	60	0.0208	0.00034661
wait/synch/mutex/innodb/recalc_pool_mutex	50	0.0165	0.00033043
wait/synch/mutex/innodb/ibuf_mutex	60	0.0127	0.00021207
wait/synch/mutex/innodb/trx_pool_mutex	94	0.0072	0.00007669
wait/synch/mutex/innodb/trx_pool_manager_mutex	47	0.0058	0.00012334
wait/synch/sxlock/innodb/dict_table_stats	27	0.0044	0.00016231
wait/synch/mutex/innodb/parser_mutex	40	0.0034	0.00008539
wait/synch/mutex/innodb/dict_persist_dirty_tables_mutex	8	0.0026	0.00032528
wait/synch/mutex/innodb/page_sys_arch_oper_mutex	8	0.0022	0.00027676
wait/synch/sxlock/innodb/dict_operation_lock	7	0.0017	0.00024351
wait/synch/mutex/innodb/srv_innodb_monitor_mutex	1	0.0004	0.00035946
wait/synch/mutex/innodb/innobase_share_mutex	1	0.0000	0.00004684
