## Performance Schema — InnoDB mutex wait (全 run の平均)
EVENT_NAME                                        	AVG_COUNT      	AVG_SUM_MS     	AVG_AVG_MS     
wait/synch/mutex/innodb/log_files_mutex           	5701.00        	3908.5379      	0.6863         
wait/synch/sxlock/innodb/hash_table_locks         	20026186.00    	3272.5448      	0.0002         
wait/synch/sxlock/innodb/trx_purge_latch          	6397810.00     	2507.7354      	0.0004         
wait/synch/mutex/innodb/log_writer_mutex          	12619.00       	2036.4588      	0.1661         
wait/synch/mutex/innodb/trx_mutex                 	33916847.67    	2027.3428      	0.0001         
wait/synch/mutex/innodb/lock_sys_page_mutex       	1332417.67     	1300.1450      	0.0010         
wait/synch/mutex/innodb/fil_system_mutex          	7106922.67     	902.2700       	0.0001         
wait/synch/mutex/innodb/trx_sys_mutex             	377584.00      	732.2504       	0.0019         
wait/synch/sxlock/innodb/index_tree_rw_lock       	3196767.00     	623.9683       	0.0002         
wait/synch/mutex/innodb/sync_array_mutex          	1801536.67     	486.7242       	0.0003         
wait/synch/mutex/innodb/undo_space_rseg_mutex     	585949.67      	373.0570       	0.0006         
wait/synch/sxlock/innodb/lock_sys_global_rw_lock  	1355677.33     	337.0016       	0.0002         
wait/synch/mutex/innodb/lock_wait_mutex           	86666.00       	199.3463       	0.0023         
wait/synch/sxlock/innodb/log_sn_lock              	1561739.33     	140.6866       	0.0001         
wait/synch/sxlock/innodb/fil_space_latch          	20509.33       	90.2787        	0.0044         
wait/synch/mutex/innodb/trx_sys_serialisation_mutex	174275.67      	65.0424        	0.0004         
wait/synch/mutex/innodb/srv_sys_mutex             	64130.67       	64.1065        	0.0010         
wait/synch/mutex/innodb/lock_sys_table_mutex      	173692.00      	62.6527        	0.0004         
wait/synch/mutex/innodb/trx_sys_shard_mutex       	370598.67      	50.8397        	0.0001         
wait/synch/mutex/innodb/log_write_notifier_mutex  	402800.33      	41.4647        	0.0001         
wait/synch/mutex/innodb/log_flusher_mutex         	997.67         	35.2250        	0.0360         
wait/synch/mutex/innodb/purge_sys_pq_mutex        	173685.33      	32.7857        	0.0002         
wait/synch/mutex/innodb/dict_sys_mutex            	520891.33      	31.6076        	0.0001         
wait/synch/mutex/innodb/trx_undo_mutex            	347413.67      	26.9492        	0.0001         
wait/synch/sxlock/innodb/rsegs_lock               	127577.33      	26.8802        	0.0002         
wait/synch/sxlock/innodb/undo_spaces_lock         	106737.67      	24.0170        	0.0002         
wait/synch/mutex/innodb/dict_table_mutex          	347495.33      	23.8514        	0.0001         
wait/synch/mutex/innodb/autoinc_persisted_mutex   	86718.00       	15.7099        	0.0002         
wait/synch/mutex/innodb/autoinc_mutex             	86727.00       	11.2687        	0.0001         
wait/synch/mutex/innodb/alter_stage_mutex         	83020.00       	5.3734         	0.0001         
wait/synch/mutex/innodb/flush_list_mutex          	36649.67       	3.8542         	0.0001         
wait/synch/mutex/innodb/buf_pool_flush_state_mutex	24386.67       	3.4677         	0.0001         
wait/synch/mutex/innodb/temp_space_rseg_mutex     	29952.00       	2.9224         	0.0001         
wait/synch/mutex/innodb/parallel_read_mutex       	150.00         	1.8597         	0.0124         
wait/synch/mutex/innodb/log_flush_notifier_mutex  	11851.67       	1.4571         	0.0001         
wait/synch/mutex/innodb/buf_pool_free_list_mutex  	10349.33       	1.4410         	0.0001         
wait/synch/mutex/innodb/log_governor_mutex        	5531.00        	1.4213         	0.0003         
wait/synch/mutex/innodb/log_limits_mutex          	5778.00        	0.8137         	0.0001         
wait/synch/mutex/innodb/dblwr_mutex               	12257.00       	0.7730         	0.0001         
wait/synch/mutex/innodb/buf_pool_LRU_list_mutex   	5328.67        	0.4522         	0.0001         
wait/synch/mutex/innodb/recalc_pool_mutex         	49.00          	0.1618         	0.0032         
wait/synch/mutex/innodb/page_cleaner_mutex        	360.00         	0.0326         	0.0001         
wait/synch/mutex/innodb/log_checkpointer_mutex    	68.00          	0.0216         	0.0003         
wait/synch/mutex/innodb/row_drop_list_mutex       	59.00          	0.0215         	0.0004         
wait/synch/mutex/innodb/ibuf_mutex                	59.00          	0.0129         	0.0002         
wait/synch/mutex/innodb/trx_pool_mutex            	97.33          	0.0076         	0.0001         
wait/synch/mutex/innodb/trx_pool_manager_mutex    	48.67          	0.0056         	0.0001         
wait/synch/sxlock/innodb/dict_table_stats         	27.67          	0.0044         	0.0002         
wait/synch/mutex/innodb/parser_mutex              	42.67          	0.0032         	0.0001         
wait/synch/mutex/innodb/dict_persist_dirty_tables_mutex	8.33           	0.0026         	0.0003         
wait/synch/mutex/innodb/page_sys_arch_oper_mutex  	8.33           	0.0021         	0.0002         
wait/synch/sxlock/innodb/dict_operation_lock      	6.67           	0.0016         	0.0002         
wait/synch/mutex/innodb/srv_innodb_monitor_mutex  	1.33           	0.0005         	0.0003         
wait/synch/mutex/innodb/innobase_share_mutex      	1.00           	0.0000         	0.0000         
