EVENT_NAME	COUNT_STAR	SUM_WAIT_MS	AVG_WAIT_MS
wait/synch/mutex/innodb/log_files_mutex	5660	4428.5917	0.78243669
wait/synch/sxlock/innodb/hash_table_locks	19698970	3224.3678	0.00016368
wait/synch/sxlock/innodb/trx_purge_latch	6288884	2383.3688	0.00037898
wait/synch/mutex/innodb/log_writer_mutex	11858	2358.7320	0.19891482
wait/synch/mutex/innodb/trx_mutex	33344733	2006.2805	0.00006017
wait/synch/mutex/innodb/lock_sys_page_mutex	1310713	1266.1814	0.00096602
wait/synch/mutex/innodb/fil_system_mutex	6990527	887.6797	0.00012698
wait/synch/sxlock/innodb/index_tree_rw_lock	3145196	610.3028	0.00019404
wait/synch/mutex/innodb/sync_array_mutex	1779888	499.7790	0.00028079
wait/synch/mutex/innodb/undo_space_rseg_mutex	576479	446.0027	0.00077367
wait/synch/mutex/innodb/trx_sys_mutex	371474	415.7004	0.00111906
wait/synch/sxlock/innodb/lock_sys_global_rw_lock	1332988	240.2358	0.00018022
wait/synch/mutex/innodb/lock_wait_mutex	84794	211.0414	0.00248887
wait/synch/sxlock/innodb/log_sn_lock	1536655	136.9067	0.00008909
wait/synch/mutex/innodb/log_flusher_mutex	1042	70.9330	0.06807385
wait/synch/mutex/innodb/srv_sys_mutex	62978	63.5273	0.00100872
wait/synch/mutex/innodb/lock_sys_table_mutex	170886	55.4896	0.00032472
wait/synch/mutex/innodb/trx_sys_shard_mutex	364547	49.6940	0.00013632
wait/synch/sxlock/innodb/fil_space_latch	20288	49.2921	0.00242962
wait/synch/mutex/innodb/trx_sys_serialisation_mutex	171472	48.5195	0.00028296
wait/synch/mutex/innodb/log_write_notifier_mutex	400755	41.1765	0.00010275
wait/synch/mutex/innodb/dict_sys_mutex	512496	31.9406	0.00006232
wait/synch/mutex/innodb/purge_sys_pq_mutex	170881	27.0746	0.00015844
wait/synch/sxlock/innodb/rsegs_lock	125500	26.9303	0.00021458
wait/synch/mutex/innodb/trx_undo_mutex	341796	25.3925	0.00007429
wait/synch/mutex/innodb/dict_table_mutex	341878	24.0856	0.00007045
wait/synch/sxlock/innodb/undo_spaces_lock	105008	23.6709	0.00022542
wait/synch/mutex/innodb/autoinc_persisted_mutex	85329	15.5621	0.00018238
wait/synch/mutex/innodb/autoinc_mutex	85338	10.3271	0.00012101
wait/synch/mutex/innodb/alter_stage_mutex	83020	5.3734	0.00006472
wait/synch/mutex/innodb/flush_list_mutex	38921	5.2302	0.00013438
wait/synch/mutex/innodb/temp_space_rseg_mutex	29440	3.2254	0.00010956
wait/synch/mutex/innodb/parallel_read_mutex	150	1.8597	0.01239792
wait/synch/mutex/innodb/buf_pool_flush_state_mutex	26062	1.8518	0.00007106
wait/synch/mutex/innodb/log_governor_mutex	5492	1.5501	0.00028225
wait/synch/mutex/innodb/log_flush_notifier_mutex	12186	1.4649	0.00012021
wait/synch/mutex/innodb/buf_pool_free_list_mutex	10249	1.4251	0.00013905
wait/synch/mutex/innodb/dblwr_mutex	13105	0.8011	0.00006113
wait/synch/mutex/innodb/log_limits_mutex	5732	0.7502	0.00013087
wait/synch/mutex/innodb/buf_pool_LRU_list_mutex	5274	0.5965	0.00011310
wait/synch/mutex/innodb/page_cleaner_mutex	362	0.0330	0.00009107
wait/synch/mutex/innodb/row_drop_list_mutex	59	0.0221	0.00037506
wait/synch/mutex/innodb/log_checkpointer_mutex	67	0.0206	0.00030800
wait/synch/mutex/innodb/recalc_pool_mutex	46	0.0141	0.00030588
wait/synch/mutex/innodb/ibuf_mutex	59	0.0135	0.00022857
wait/synch/mutex/innodb/trx_pool_mutex	94	0.0074	0.00007877
wait/synch/mutex/innodb/trx_pool_manager_mutex	47	0.0050	0.00010603
wait/synch/sxlock/innodb/dict_table_stats	27	0.0042	0.00015416
wait/synch/mutex/innodb/parser_mutex	40	0.0028	0.00006898
wait/synch/mutex/innodb/dict_persist_dirty_tables_mutex	8	0.0025	0.00031201
wait/synch/mutex/innodb/page_sys_arch_oper_mutex	8	0.0018	0.00022335
wait/synch/sxlock/innodb/dict_operation_lock	6	0.0018	0.00029254
wait/synch/mutex/innodb/srv_innodb_monitor_mutex	2	0.0007	0.00034512
wait/synch/mutex/innodb/innobase_share_mutex	1	0.0001	0.00005258
