run	tps	qps	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	444.72	8894.39	35.98	204.11	4.34	2176.57	NA	0.00
2	471.73	9434.66	33.80	150.29	4.34	3485.64	NA	0.00
3	480.84	9616.76	33.10	134.90	4.35	1988.20	NA	0.00
4	438.61	8772.16	36.48	227.40	4.19	2083.57	NA	0.00
5	464.48	9289.65	34.42	179.94	4.20	2269.06	NA	0.00
6	479.41	9588.24	32.92	164.45	4.29	2006.13	NA	0.00
7	458.87	9177.36	34.85	200.47	4.12	1622.81	NA	0.00
8	447.22	8944.46	35.46	132.49	4.35	2593.15	NA	0.00
9	516.37	10327.33	30.80	155.80	4.28	2046.74	NA	0.00
10	461.85	9237.08	34.57	211.60	4.27	2017.24	NA	0.00
