run	tps	qps	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	418.34	8366.90	38.24	248.83	4.28	1854.28	NA	0.00
2	504.92	10098.34	31.69	130.13	4.21	1629.85	NA	0.00
3	495.36	9907.10	32.17	170.48	4.23	1855.38	NA	0.00
4	443.96	8879.20	36.04	196.89	4.36	2397.74	NA	0.00
5	406.74	8134.70	39.33	219.36	4.25	2853.89	NA	0.00
6	471.31	9426.12	33.73	173.58	4.14	3323.84	NA	0.00
7	455.07	9101.44	34.69	204.11	4.31	2061.81	NA	0.00
8	472.99	9459.81	33.75	153.02	4.25	2371.70	NA	0.00
9	513.60	10271.95	31.08	153.02	4.36	2874.81	NA	0.00
10	458.27	9165.44	34.65	200.47	4.23	1608.16	NA	0.00
