run	tps	qps	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	214.94	4298.72	18.61	5.37	4.26	1656.54	NA	0.00
2	225.58	4511.64	17.66	5.28	4.25	1384.58	NA	0.00
3	220.65	4413.06	18.13	5.28	4.13	1369.12	NA	0.00
4	213.89	4277.72	18.70	5.28	4.30	2033.70	NA	0.00
5	211.00	4219.91	18.81	5.28	4.21	1404.28	NA	0.00
6	205.68	4113.68	19.45	5.37	4.10	1365.02	NA	0.00
7	199.69	3993.85	19.88	5.28	4.24	1471.24	NA	0.00
8	215.22	4304.31	18.50	5.28	4.26	1583.92	NA	0.00
9	213.97	4279.37	18.69	5.37	4.20	1254.71	NA	0.00
10	211.81	4236.16	18.67	5.28	4.25	1560.18	NA	0.00
