run	tps	qps	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	279.21	5584.14	28.65	118.92	4.32	1385.05	NA	0.00
2	269.09	5381.87	29.46	102.97	4.10	3040.06	NA	0.00
3	303.29	6065.71	26.38	63.32	4.33	2187.64	NA	0.00
4	317.25	6344.97	25.20	71.83	4.25	1651.20	NA	0.00
5	293.80	5875.91	27.02	95.81	4.25	1523.48	NA	0.00
6	274.89	5497.84	29.10	102.97	4.10	2120.71	NA	0.00
7	310.67	6213.43	25.60	77.19	4.24	1495.04	NA	0.00
8	300.66	6013.27	26.53	71.83	4.23	2348.39	NA	0.00
9	270.12	5402.35	29.27	89.16	4.37	3663.96	NA	0.00
10	315.32	6306.32	25.32	73.13	4.25	1722.51	NA	0.00
