run	tps	qps	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	660.29	13205.82	48.34	267.41	4.37	3295.76	NA	0.00
2	586.61	11732.13	53.87	350.33	4.36	2691.28	NA	0.00
3	641.11	12822.24	49.75	344.08	4.37	2675.70	NA	0.00
4	558.35	11167.00	57.29	390.30	4.35	4026.23	NA	0.00
5	659.17	13183.34	48.54	320.17	4.33	2677.54	NA	0.00
6	584.93	11698.52	54.69	376.49	4.33	2135.13	NA	0.00
7	672.46	13449.25	47.27	292.60	4.36	2867.96	NA	0.00
8	593.19	11863.75	53.94	331.91	4.30	2827.56	NA	0.00
9	668.57	13371.31	47.84	320.17	4.36	2092.95	NA	0.00
10	629.03	12580.62	50.87	337.94	4.36	2871.64	NA	0.00
