run	tps	qps	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	586.88	11737.67	54.30	383.33	4.31	1807.22	NA	0.00
2	745.36	14907.30	42.93	262.64	4.31	1719.38	NA	0.00
3	588.25	11764.99	54.30	390.30	4.36	2494.62	NA	0.00
4	582.45	11649.01	54.90	383.33	4.20	1996.67	NA	0.00
5	522.28	10445.63	60.99	404.61	4.33	2751.53	NA	0.00
6	655.74	13114.81	48.44	314.45	4.34	1840.28	NA	0.00
7	588.67	11773.31	54.35	344.08	4.31	3854.67	NA	0.00
8	615.76	12315.15	51.67	325.98	4.36	2147.79	NA	0.00
9	564.63	11292.67	56.67	404.61	4.37	2349.05	NA	0.00
10	685.95	13718.92	46.45	262.64	4.36	2284.14	NA	0.00
