server	variant	threads	multiplier	round	tps	lat_avg_ms	lat_p95_ms
ivy-c8220	large-multiplier	8	100	3	53.74	148.39	831.46
ivy-c8220	large-multiplier	8	150	3	50.48	158.38	759.88
ivy-c8220	large-multiplier	8	200	3	53.37	149.80	861.95
ivy-c8220	large-multiplier	8	300	3	54.79	144.78	816.63
ivy-c8220	large-multiplier	8	500	3	57.91	138.13	787.74
ivy-c8220	large-multiplier	8	0	4	57.02	140.06	846.57
ivy-c8220	large-multiplier	8	5	4	61.81	128.24	707.07
ivy-c8220	large-multiplier	8	10	4	51.34	155.11	877.61
ivy-c8220	large-multiplier	8	25	4	50.09	159.12	816.63
ivy-c8220	large-multiplier	8	50	4	53.58	149.31	816.63
ivy-c8220	large-multiplier	8	75	4	62.08	128.58	759.88
ivy-c8220	large-multiplier	8	100	4	52.18	150.79	831.46
ivy-c8220	large-multiplier	8	150	4	49.89	160.13	943.16
ivy-c8220	large-multiplier	8	200	4	55.45	143.15	846.57
ivy-c8220	large-multiplier	8	300	4	52.43	152.58	846.57
ivy-c8220	large-multiplier	8	500	4	54.85	144.80	877.61
ivy-c8220	large-multiplier	8	0	5	58.12	137.14	787.74
ivy-c8220	large-multiplier	8	5	5	57.87	137.83	759.88
ivy-c8220	large-multiplier	8	10	5	57.18	139.90	707.07
ivy-c8220	large-multiplier	8	25	5	56.02	142.80	909.80
ivy-c8220	large-multiplier	8	50	5	51.30	155.82	861.95
ivy-c8220	large-multiplier	8	75	5	56.56	141.02	802.05
ivy-c8220	large-multiplier	8	100	5	54.57	146.40	816.63
ivy-c8220	large-multiplier	8	150	5	58.78	135.70	831.46
ivy-c8220	large-multiplier	8	200	5	58.65	136.40	787.74
ivy-c8220	large-multiplier	8	300	5	53.01	150.45	861.95
ivy-c8220	large-multiplier	8	500	5	51.14	156.43	861.95
ivy-c8220	large-multiplier	16	0	1	45.86	345.47	1280.93
ivy-c8220	large-multiplier	16	5	1	47.07	338.16	1352.03
ivy-c8220	large-multiplier	16	10	1	42.64	372.65	1479.41
ivy-c8220	large-multiplier	16	25	1	47.07	339.35	1304.21
ivy-c8220	large-multiplier	16	50	1	46.11	344.26	1304.21
ivy-c8220	large-multiplier	16	75	1	45.50	350.32	1376.60
ivy-c8220	large-multiplier	16	100	1	45.18	353.81	1327.91
ivy-c8220	large-multiplier	16	150	1	45.41	349.65	1376.60
ivy-c8220	large-multiplier	16	200	1	46.77	341.54	1235.62
ivy-c8220	large-multiplier	16	300	1	42.74	370.95	1506.29
ivy-c8220	large-multiplier	16	500	1	44.68	357.73	1427.08
ivy-c8220	large-multiplier	16	0	2	45.06	352.48	1401.61
ivy-c8220	large-multiplier	16	5	2	45.07	354.59	1479.41
ivy-c8220	large-multiplier	16	10	2	44.03	361.53	1352.03
ivy-c8220	large-multiplier	16	25	2	46.60	342.37	1258.08
ivy-c8220	large-multiplier	16	50	2	47.16	335.40	1280.93
ivy-c8220	large-multiplier	16	75	2	43.18	369.91	1453.01
ivy-c8220	large-multiplier	16	100	2	46.28	345.23	1376.60
ivy-c8220	large-multiplier	16	150	2	31.39	509.74	1771.29
ivy-c8220	large-multiplier	16	200	2	43.71	363.57	1479.41
ivy-c8220	large-multiplier	16	300	2	46.51	341.76	1376.60
ivy-c8220	large-multiplier	16	500	2	44.40	359.83	1327.91
ivy-c8220	large-multiplier	16	0	3	42.91	369.15	1427.08
ivy-c8220	large-multiplier	16	5	3	47.53	334.62	1280.93
ivy-c8220	large-multiplier	16	10	3	42.35	376.34	1453.01
ivy-c8220	large-multiplier	16	25	3	44.32	358.58	1376.60
ivy-c8220	large-multiplier	16	50	3	47.35	337.01	1376.60
ivy-c8220	large-multiplier	16	75	3	44.11	361.41	1352.03
ivy-c8220	large-multiplier	16	100	3	45.81	346.75	1376.60
ivy-c8220	large-multiplier	16	150	3	42.73	370.04	1376.60
ivy-c8220	large-multiplier	16	200	3	43.03	368.03	1453.01
ivy-c8220	large-multiplier	16	300	3	43.87	364.71	1479.41
ivy-c8220	large-multiplier	16	500	3	45.17	351.11	1376.60
ivy-c8220	large-multiplier	16	0	4	45.29	351.16	1352.03
ivy-c8220	large-multiplier	16	5	4	43.55	366.69	1401.61
ivy-c8220	large-multiplier	16	10	4	42.68	374.34	1376.60
ivy-c8220	large-multiplier	16	25	4	45.26	351.30	1280.93
ivy-c8220	large-multiplier	16	50	4	42.82	373.60	1453.01
ivy-c8220	large-multiplier	16	75	4	43.32	368.43	1376.60
ivy-c8220	large-multiplier	16	100	4	44.39	354.56	1352.03
ivy-c8220	large-multiplier	16	150	4	43.19	369.17	1479.41
ivy-c8220	large-multiplier	16	200	4	45.80	348.21	1327.91
ivy-c8220	large-multiplier	16	300	4	44.96	355.53	1401.61
ivy-c8220	large-multiplier	16	500	4	45.77	347.17	1304.21
ivy-c8220	large-multiplier	16	0	5	43.65	365.10	1427.08
ivy-c8220	large-multiplier	16	5	5	42.48	376.28	1427.08
ivy-c8220	large-multiplier	16	10	5	31.72	499.97	1836.24
ivy-c8220	large-multiplier	16	25	5	45.56	350.19	1401.61
ivy-c8220	large-multiplier	16	50	5	45.48	351.52	1352.03
ivy-c8220	large-multiplier	16	75	5	43.73	362.48	1376.60
ivy-c8220	large-multiplier	16	100	5	42.56	374.07	1401.61
ivy-c8220	large-multiplier	16	150	5	43.42	368.46	1376.60
ivy-c8220	large-multiplier	16	200	5	41.87	375.70	1401.61
ivy-c8220	large-multiplier	16	300	5	46.90	339.85	1327.91
ivy-c8220	large-multiplier	16	500	5	42.34	377.59	1427.08
ivy-c8220	large-multiplier	32	0	1	43.51	731.74	2045.74
ivy-c8220	large-multiplier	32	5	1	44.57	711.61	1903.57
ivy-c8220	large-multiplier	32	10	1	43.91	723.51	2009.23
ivy-c8220	large-multiplier	32	25	1	43.81	725.87	2045.74
