run	tps	qps	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	367.20	7343.90	21.79	6.43	4.20	1826.68	NA	0.00
2	297.27	5945.44	26.91	69.29	4.34	1902.68	NA	0.00
3	364.27	7285.48	21.80	6.91	4.14	1887.35	NA	0.00
4	349.47	6989.45	22.89	28.16	4.20	1362.81	NA	0.00
5	348.13	6962.53	22.96	15.55	4.32	1891.74	NA	0.00
6	338.50	6770.05	23.40	12.98	4.11	1582.07	NA	0.00
7	336.83	6736.59	23.66	47.47	4.09	2323.96	NA	0.00
8	357.47	7149.32	22.29	23.52	4.10	2040.10	NA	0.00
9	357.96	7159.26	22.30	10.09	4.20	2212.44	NA	0.00
10	292.69	5853.73	27.30	95.81	4.09	2043.51	NA	0.00
