run	tps	qps	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	206.76	4135.22	19.29	5.37	4.33	1388.88	NA	0.00
2	205.42	4108.39	19.41	5.37	4.31	2013.48	NA	0.00
3	216.07	4321.32	18.51	5.28	4.30	1462.42	NA	0.00
4	204.07	4081.38	19.60	5.28	4.18	1728.53	NA	0.00
5	210.33	4206.60	19.01	5.28	4.06	1616.59	NA	0.00
6	204.34	4086.71	19.55	5.28	4.19	1678.46	NA	0.00
7	215.20	4304.02	18.59	5.28	4.23	1319.95	NA	0.00
8	205.28	4105.65	19.40	5.37	4.24	2985.62	NA	0.00
9	216.55	4330.96	18.40	5.37	4.15	1525.30	NA	0.00
10	213.99	4279.84	18.62	5.28	4.19	1773.28	NA	0.00
