run	tps	qps	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	496.35	9926.95	32.20	137.35	4.18	2284.60	NA	0.00
2	485.93	9718.58	32.92	179.94	4.29	1801.87	NA	0.00
3	366.58	7331.60	43.37	308.84	4.20	2083.23	NA	0.00
4	518.72	10374.43	30.84	104.84	4.35	6240.39	NA	0.00
5	440.17	8803.36	36.28	207.82	4.37	2351.79	NA	0.00
6	462.24	9244.78	34.44	200.47	4.23	1683.18	NA	0.00
7	485.95	9719.06	32.54	125.52	4.23	2271.09	NA	0.00
8	503.23	10064.51	31.75	102.97	4.36	3577.50	NA	0.00
9	459.40	9188.01	34.76	179.94	4.22	3323.04	NA	0.00
10	434.03	8680.61	36.76	207.82	4.36	2138.08	NA	0.00
