EVENT_NAME	COUNT_STAR	SUM_WAIT_MS	AVG_WAIT_MS
wait/synch/sxlock/innodb/trx_purge_latch	5649685	3713.2232	0.00065724
wait/synch/sxlock/innodb/hash_table_locks	18673751	3059.5231	0.00016384
wait/synch/mutex/innodb/log_files_mutex	5712	3049.8985	0.53394581
wait/synch/mutex/innodb/log_writer_mutex	12971	2684.4580	0.20695844
wait/synch/mutex/innodb/lock_sys_page_mutex	1175273	2222.3059	0.00189088
wait/synch/mutex/innodb/trx_mutex	29679133	1939.4367	0.00006535
wait/synch/mutex/innodb/trx_sys_mutex	329153	1606.9391	0.00488204
wait/synch/mutex/innodb/lock_wait_mutex	88801	1561.1418	0.01758023
wait/synch/mutex/innodb/fil_system_mutex	6533189	1480.8318	0.00022666
wait/synch/sxlock/innodb/index_tree_rw_lock	2905403	681.2467	0.00023448
wait/synch/mutex/innodb/srv_sys_mutex	54844	403.2725	0.00735308
wait/synch/mutex/innodb/undo_space_rseg_mutex	509936	296.3650	0.00058118
wait/synch/sxlock/innodb/lock_sys_global_rw_lock	1194238	238.9193	0.00020006
wait/synch/mutex/innodb/sync_array_mutex	244651	161.9123	0.00066181
wait/synch/sxlock/innodb/log_sn_lock	1367535	139.6105	0.00010209
wait/synch/mutex/innodb/lock_sys_table_mutex	152106	60.3838	0.00039698
wait/synch/mutex/innodb/trx_sys_shard_mutex	327955	49.8671	0.00015205
wait/synch/mutex/innodb/log_write_notifier_mutex	383649	35.8062	0.00009333
wait/synch/mutex/innodb/purge_sys_pq_mutex	152102	33.7235	0.00022172
wait/synch/mutex/innodb/trx_undo_mutex	304241	26.6840	0.00008771
wait/synch/sxlock/innodb/rsegs_lock	111475	23.6135	0.00021183
wait/synch/mutex/innodb/dict_sys_mutex	456162	23.3217	0.00005113
wait/synch/mutex/innodb/dict_table_mutex	304324	22.4475	0.00007376
wait/synch/sxlock/innodb/undo_spaces_lock	93371	20.3223	0.00021765
wait/synch/mutex/innodb/buf_pool_free_list_mutex	268155	18.6934	0.00006971
wait/synch/mutex/innodb/autoinc_persisted_mutex	75938	16.9442	0.00022313
wait/synch/mutex/innodb/trx_sys_serialisation_mutex	152695	16.0709	0.00010525
wait/synch/sxlock/innodb/fil_space_latch	147505	12.4194	0.00008420
wait/synch/mutex/innodb/buf_pool_LRU_list_mutex	135090	9.5473	0.00007067
wait/synch/mutex/innodb/autoinc_mutex	75947	9.4939	0.00012501
wait/synch/mutex/innodb/alter_stage_mutex	83020	5.2259	0.00006295
wait/synch/mutex/innodb/buf_pool_flush_state_mutex	22854	3.8024	0.00016638
wait/synch/mutex/innodb/flush_list_mutex	34180	3.0991	0.00009067
wait/synch/mutex/innodb/temp_space_rseg_mutex	24704	2.6347	0.00010665
wait/synch/mutex/innodb/log_flush_notifier_mutex	12140	1.4947	0.00012312
wait/synch/mutex/innodb/parallel_read_mutex	150	1.3637	0.00909120
wait/synch/mutex/innodb/log_governor_mutex	5544	1.2212	0.00022027
wait/synch/mutex/innodb/log_limits_mutex	5791	0.9110	0.00015731
wait/synch/mutex/innodb/dblwr_mutex	11483	0.6726	0.00005858
wait/synch/mutex/innodb/log_flusher_mutex	895	0.1151	0.00012860
wait/synch/mutex/innodb/page_cleaner_mutex	362	0.0348	0.00009620
wait/synch/mutex/innodb/row_drop_list_mutex	60	0.0220	0.00036709
wait/synch/mutex/innodb/log_checkpointer_mutex	68	0.0218	0.00031988
wait/synch/mutex/innodb/recalc_pool_mutex	44	0.0137	0.00031059
wait/synch/mutex/innodb/ibuf_mutex	60	0.0135	0.00022482
wait/synch/mutex/innodb/trx_pool_mutex	94	0.0072	0.00007662
wait/synch/sxlock/innodb/dict_table_stats	64	0.0066	0.00010278
wait/synch/mutex/innodb/trx_pool_manager_mutex	47	0.0055	0.00011775
wait/synch/mutex/innodb/parser_mutex	40	0.0035	0.00008666
wait/synch/mutex/innodb/dict_persist_dirty_tables_mutex	9	0.0024	0.00027034
wait/synch/mutex/innodb/page_sys_arch_oper_mutex	9	0.0021	0.00023199
wait/synch/sxlock/innodb/dict_operation_lock	6	0.0009	0.00015678
wait/synch/mutex/innodb/srv_innodb_monitor_mutex	1	0.0003	0.00032026
wait/synch/mutex/innodb/ibuf_bitmap_mutex	1	0.0003	0.00029062
wait/synch/mutex/innodb/innobase_share_mutex	1	0.0002	0.00017782
