run	tps	qps	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	460.08	9201.50	69.38	475.79	4.35	2444.90	NA	0.00
2	594.03	11880.66	53.86	314.45	4.23	2660.09	NA	0.00
3	623.07	12461.35	51.35	363.18	4.27	1765.14	NA	0.00
4	591.76	11835.13	54.07	390.30	4.36	2856.67	NA	0.00
5	588.96	11779.21	54.26	390.30	4.18	2835.65	NA	0.00
6	607.71	12154.11	52.35	376.49	4.35	1719.87	NA	0.00
7	545.41	10908.23	58.20	397.39	4.22	1890.83	NA	0.00
8	537.04	10740.73	59.57	419.45	4.35	1728.70	NA	0.00
9	669.76	13395.18	47.34	287.38	4.28	1975.62	NA	0.00
10	504.00	10079.96	63.42	427.07	4.35	3025.19	NA	0.00
