run	tps	qps	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	579.52	11590.32	54.85	390.30	4.24	3472.90	NA	0.00
2	622.21	12444.22	51.42	337.94	4.28	1972.85	NA	0.00
3	645.25	12904.99	49.42	350.33	4.13	2364.86	NA	0.00
4	551.12	11022.40	58.05	419.45	4.35	1944.85	NA	0.00
5	551.50	11030.09	57.63	404.61	4.36	2857.24	NA	0.00
6	627.41	12548.23	50.49	337.94	4.36	2342.32	NA	0.00
7	566.77	11335.49	56.14	363.18	4.35	2129.06	NA	0.00
8	635.15	12702.93	49.88	320.17	4.36	2109.34	NA	0.00
9	550.84	11016.82	57.37	411.96	4.35	2402.41	NA	0.00
10	570.80	11415.94	55.76	383.33	4.36	2171.19	NA	0.00
