run	tps	qps	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	192.28	3845.67	20.79	8.13	4.29	1528.21	NA	0.00
2	223.81	4476.20	17.86	5.28	4.09	1552.11	NA	0.00
3	218.66	4373.11	18.27	5.37	4.16	1675.40	NA	0.00
4	224.17	4483.40	17.84	5.28	4.15	1290.86	NA	0.00
5	206.45	4129.02	19.29	5.37	4.17	1446.81	NA	0.00
6	217.04	4340.78	18.43	5.28	4.17	1609.27	NA	0.00
7	197.62	3952.44	20.22	5.37	4.17	1374.50	NA	0.00
8	213.42	4268.37	18.71	5.28	4.13	1418.79	NA	0.00
9	224.75	4494.98	17.80	5.28	4.17	1428.99	NA	0.00
10	215.13	4302.67	18.46	5.28	4.35	1422.86	NA	0.00
