run	tps	qps	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	655.79	13115.74	48.36	337.94	4.22	2379.67	NA	0.00
2	630.36	12607.28	50.60	337.94	4.22	2285.94	NA	0.00
3	568.17	11363.44	55.65	369.77	4.33	3660.44	NA	0.00
4	629.01	12580.16	50.86	363.18	4.23	2225.88	NA	0.00
5	569.91	11398.13	55.86	390.30	4.36	2431.52	NA	0.00
6	549.63	10992.59	58.22	411.96	4.31	2391.93	NA	0.00
7	534.67	10693.49	59.59	411.96	4.25	2123.13	NA	0.00
8	540.43	10808.57	59.21	434.83	4.29	2653.82	NA	0.00
9	558.72	11174.33	56.97	397.39	4.36	3156.10	NA	0.00
10	518.63	10372.60	61.69	450.77	4.28	2555.59	NA	0.00
