run	tps	qps	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	610.28	12205.53	52.43	350.33	4.36	3252.92	NA	0.00
2	487.61	9752.19	65.22	434.83	4.38	2258.98	NA	0.00
3	514.83	10296.55	61.80	404.61	4.12	2537.50	NA	0.00
4	629.61	12592.23	50.81	356.70	4.13	2436.42	NA	0.00
5	381.55	7631.01	82.80	530.08	4.33	3061.34	NA	0.00
6	509.19	10183.88	62.22	419.45	4.34	2875.16	NA	0.00
7	447.24	8944.72	71.35	493.24	4.40	1929.68	NA	0.00
8	549.37	10987.35	57.68	397.39	4.33	2444.69	NA	0.00
9	526.17	10523.46	60.81	411.96	4.38	2207.85	NA	0.00
10	532.83	10656.64	59.90	404.61	4.39	2666.40	NA	0.00
