EVENT_NAME	COUNT_STAR	SUM_WAIT_MS	AVG_WAIT_MS
wait/synch/mutex/innodb/lock_sys_page_mutex	1120096	4607.7893	0.00411374
wait/synch/sxlock/innodb/trx_purge_latch	5154211	4287.1449	0.00083178
wait/synch/sxlock/innodb/hash_table_locks	16493680	2733.8785	0.00016575
wait/synch/mutex/innodb/lock_wait_mutex	81059	2523.9704	0.03113745
wait/synch/mutex/innodb/log_files_mutex	5836	2424.6639	0.41546673
wait/synch/mutex/innodb/trx_mutex	28335659	1993.5720	0.00007036
wait/synch/mutex/innodb/trx_sys_mutex	315072	1845.6258	0.00585779
wait/synch/mutex/innodb/fil_system_mutex	5751715	1539.5475	0.00026767
wait/synch/mutex/innodb/log_writer_mutex	15517	1234.4059	0.07955184
wait/synch/mutex/innodb/srv_sys_mutex	55784	780.6983	0.01399502
wait/synch/sxlock/innodb/index_tree_rw_lock	2653975	502.2447	0.00018924
wait/synch/mutex/innodb/undo_space_rseg_mutex	489061	496.2025	0.00101460
wait/synch/sxlock/innodb/lock_sys_global_rw_lock	1138481	252.1236	0.00022146
wait/synch/mutex/innodb/sync_array_mutex	186627	198.2727	0.00106240
wait/synch/mutex/innodb/purge_sys_pq_mutex	145233	130.0147	0.00089521
wait/synch/sxlock/innodb/log_sn_lock	1306287	117.9516	0.00009030
wait/synch/sxlock/innodb/fil_space_latch	17283	54.2374	0.00313819
wait/synch/mutex/innodb/lock_sys_table_mutex	145234	52.4639	0.00036124
wait/synch/mutex/innodb/trx_sys_shard_mutex	312371	51.8905	0.00016612
wait/synch/mutex/innodb/log_write_notifier_mutex	370173	30.6789	0.00008288
wait/synch/mutex/innodb/trx_undo_mutex	290498	29.8218	0.00010266
wait/synch/mutex/innodb/trx_sys_serialisation_mutex	145815	27.1797	0.00018640
wait/synch/mutex/innodb/dict_sys_mutex	435568	23.1463	0.00005314
wait/synch/sxlock/innodb/rsegs_lock	108740	22.0818	0.00020307
wait/synch/sxlock/innodb/undo_spaces_lock	90294	18.4459	0.00020429
wait/synch/mutex/innodb/dict_table_mutex	290587	17.1705	0.00005909
wait/synch/mutex/innodb/autoinc_persisted_mutex	72510	14.1868	0.00019565
wait/synch/mutex/innodb/autoinc_mutex	72519	13.8813	0.00019142
wait/synch/mutex/innodb/alter_stage_mutex	83020	5.3734	0.00006472
wait/synch/mutex/innodb/buf_pool_flush_state_mutex	22694	4.5416	0.00020012
wait/synch/mutex/innodb/flush_list_mutex	34175	3.0991	0.00009068
wait/synch/mutex/innodb/temp_space_rseg_mutex	24448	2.2285	0.00009115
wait/synch/mutex/innodb/parallel_read_mutex	150	1.8597	0.01239792
wait/synch/mutex/innodb/log_governor_mutex	5676	1.4670	0.00025846
wait/synch/mutex/innodb/log_flush_notifier_mutex	11973	1.4153	0.00011820
wait/synch/mutex/innodb/buf_pool_free_list_mutex	8698	1.1669	0.00013415
wait/synch/mutex/innodb/dblwr_mutex	11428	0.7185	0.00006287
wait/synch/mutex/innodb/log_limits_mutex	5914	0.6340	0.00010721
wait/synch/mutex/innodb/buf_pool_LRU_list_mutex	4483	0.4176	0.00009315
wait/synch/mutex/innodb/log_flusher_mutex	892	0.1190	0.00013337
wait/synch/mutex/innodb/page_cleaner_mutex	362	0.0323	0.00008927
wait/synch/mutex/innodb/row_drop_list_mutex	59	0.0266	0.00045109
wait/synch/mutex/innodb/trx_pool_mutex	94	0.0217	0.00023035
wait/synch/mutex/innodb/log_checkpointer_mutex	67	0.0211	0.00031525
wait/synch/mutex/innodb/recalc_pool_mutex	41	0.0137	0.00033432
wait/synch/mutex/innodb/ibuf_mutex	59	0.0136	0.00023096
wait/synch/mutex/innodb/trx_pool_manager_mutex	47	0.0052	0.00011039
wait/synch/sxlock/innodb/dict_table_stats	28	0.0046	0.00016532
wait/synch/mutex/innodb/parser_mutex	40	0.0027	0.00006759
wait/synch/mutex/innodb/dict_persist_dirty_tables_mutex	8	0.0024	0.00029409
wait/synch/mutex/innodb/page_sys_arch_oper_mutex	8	0.0018	0.00022586
wait/synch/sxlock/innodb/dict_operation_lock	6	0.0013	0.00021701
wait/synch/mutex/innodb/srv_innodb_monitor_mutex	1	0.0006	0.00063287
