## Performance Schema — InnoDB mutex wait (全 run の平均)
EVENT_NAME                                        	AVG_COUNT      	AVG_SUM_MS     	AVG_AVG_MS     
wait/synch/mutex/innodb/lock_sys_page_mutex       	1121730.00     	4636.3252      	0.0041         
wait/synch/sxlock/innodb/trx_purge_latch          	5154594.67     	4001.9311      	0.0008         
wait/synch/mutex/innodb/log_files_mutex           	5801.00        	2749.3602      	0.4742         
wait/synch/sxlock/innodb/hash_table_locks         	16510282.00    	2716.8132      	0.0002         
wait/synch/mutex/innodb/lock_wait_mutex           	80830.67       	2519.0797      	0.0312         
wait/synch/mutex/innodb/trx_mutex                 	28378400.67    	2005.3533      	0.0001         
wait/synch/mutex/innodb/trx_sys_mutex             	315617.00      	1628.2876      	0.0052         
wait/synch/mutex/innodb/fil_system_mutex          	5751335.00     	1537.5968      	0.0003         
wait/synch/mutex/innodb/log_writer_mutex          	13241.33       	1379.5412      	0.1066         
wait/synch/mutex/innodb/srv_sys_mutex             	55506.67       	858.8026       	0.0155         
wait/synch/sxlock/innodb/index_tree_rw_lock       	2658334.33     	498.5619       	0.0002         
wait/synch/mutex/innodb/undo_space_rseg_mutex     	489582.67      	387.2140       	0.0008         
wait/synch/sxlock/innodb/lock_sys_global_rw_lock  	1140411.00     	251.6006       	0.0002         
wait/synch/mutex/innodb/sync_array_mutex          	188782.00      	222.7167       	0.0012         
wait/synch/sxlock/innodb/fil_space_latch          	17099.33       	129.3595       	0.0077         
wait/synch/sxlock/innodb/log_sn_lock              	1308121.33     	120.8584       	0.0001         
wait/synch/mutex/innodb/purge_sys_pq_mutex        	145456.00      	58.9500        	0.0004         
wait/synch/mutex/innodb/lock_sys_table_mutex      	145459.33      	50.8509        	0.0003         
wait/synch/mutex/innodb/trx_sys_shard_mutex       	312737.67      	49.6850        	0.0002         
wait/synch/mutex/innodb/log_write_notifier_mutex  	380519.33      	31.3154        	0.0001         
wait/synch/mutex/innodb/trx_sys_serialisation_mutex	146039.00      	29.1451        	0.0002         
wait/synch/mutex/innodb/trx_undo_mutex            	290958.33      	26.8061        	0.0001         
wait/synch/mutex/innodb/dict_sys_mutex            	436247.00      	23.8059        	0.0001         
wait/synch/sxlock/innodb/rsegs_lock               	108887.00      	21.7275        	0.0002         
wait/synch/sxlock/innodb/undo_spaces_lock         	90423.00       	18.1564        	0.0002         
wait/synch/mutex/innodb/dict_table_mutex          	291054.00      	17.1922        	0.0001         
wait/synch/mutex/innodb/autoinc_persisted_mutex   	72616.67       	15.4717        	0.0002         
wait/synch/mutex/innodb/autoinc_mutex             	72625.67       	10.0929        	0.0001         
wait/synch/mutex/innodb/alter_stage_mutex         	83020.00       	5.3734         	0.0001         
wait/synch/mutex/innodb/buf_pool_flush_state_mutex	22612.00       	4.5815         	0.0002         
wait/synch/mutex/innodb/flush_list_mutex          	33885.00       	3.0226         	0.0001         
wait/synch/mutex/innodb/temp_space_rseg_mutex     	24490.67       	2.2803         	0.0001         
wait/synch/mutex/innodb/parallel_read_mutex       	150.00         	1.8597         	0.0124         
wait/synch/mutex/innodb/buf_pool_free_list_mutex  	8611.00        	1.3804         	0.0002         
wait/synch/mutex/innodb/log_flush_notifier_mutex  	11703.67       	1.3640         	0.0001         
wait/synch/mutex/innodb/log_governor_mutex        	5637.67        	1.3620         	0.0002         
wait/synch/mutex/innodb/dblwr_mutex               	11370.33       	0.6989         	0.0001         
wait/synch/mutex/innodb/log_limits_mutex          	5878.00        	0.6860         	0.0001         
wait/synch/mutex/innodb/buf_pool_LRU_list_mutex   	4446.33        	0.3928         	0.0001         
wait/synch/mutex/innodb/log_flusher_mutex         	913.33         	0.1139         	0.0001         
wait/synch/mutex/innodb/page_cleaner_mutex        	362.00         	0.0331         	0.0001         
wait/synch/mutex/innodb/row_drop_list_mutex       	59.33          	0.0234         	0.0004         
wait/synch/mutex/innodb/log_checkpointer_mutex    	68.00          	0.0209         	0.0003         
wait/synch/mutex/innodb/ibuf_mutex                	59.33          	0.0135         	0.0002         
wait/synch/mutex/innodb/recalc_pool_mutex         	41.00          	0.0133         	0.0003         
wait/synch/mutex/innodb/trx_pool_mutex            	97.33          	0.0127         	0.0001         
wait/synch/mutex/innodb/trx_pool_manager_mutex    	48.67          	0.0056         	0.0001         
wait/synch/sxlock/innodb/dict_table_stats         	27.67          	0.0044         	0.0002         
wait/synch/mutex/innodb/parser_mutex              	42.67          	0.0028         	0.0001         
wait/synch/mutex/innodb/dict_persist_dirty_tables_mutex	8.33           	0.0027         	0.0003         
wait/synch/mutex/innodb/page_sys_arch_oper_mutex  	8.33           	0.0021         	0.0003         
wait/synch/sxlock/innodb/dict_operation_lock      	6.67           	0.0012         	0.0002         
wait/synch/mutex/innodb/srv_innodb_monitor_mutex  	1.33           	0.0005         	0.0004         
