EVENT_NAME	COUNT_STAR	SUM_WAIT_MS	AVG_WAIT_MS
wait/synch/mutex/innodb/log_files_mutex	5697	3726.4740	0.65411163
wait/synch/sxlock/innodb/hash_table_locks	19825452	3144.6699	0.00015862
wait/synch/mutex/innodb/log_writer_mutex	14763	2605.7414	0.17650487
wait/synch/mutex/innodb/trx_mutex	34216157	1971.8755	0.00005763
wait/synch/sxlock/innodb/trx_purge_latch	6228589	1845.3245	0.00029627
wait/synch/mutex/innodb/lock_sys_page_mutex	1347449	909.1255	0.00067470
wait/synch/mutex/innodb/fil_system_mutex	6944324	831.5081	0.00011974
wait/synch/mutex/innodb/undo_space_rseg_mutex	592046	652.3051	0.00110178
wait/synch/sxlock/innodb/index_tree_rw_lock	3173236	586.0150	0.00018467
wait/synch/mutex/innodb/lock_wait_mutex	89209	292.7435	0.00328155
wait/synch/sxlock/innodb/lock_sys_global_rw_lock	1370252	242.2133	0.00017677
wait/synch/mutex/innodb/trx_sys_mutex	381397	239.8729	0.00062893
wait/synch/mutex/innodb/sync_array_mutex	525275	159.8999	0.00030441
wait/synch/sxlock/innodb/log_sn_lock	1577419	133.2796	0.00008449
wait/synch/mutex/innodb/srv_sys_mutex	69375	79.2559	0.00114243
wait/synch/mutex/innodb/lock_sys_table_mutex	175426	55.1355	0.00031429
wait/synch/mutex/innodb/trx_sys_shard_mutex	375011	48.6382	0.00012970
wait/synch/mutex/innodb/log_flusher_mutex	927	39.2129	0.04230082
wait/synch/mutex/innodb/log_write_notifier_mutex	367319	34.6937	0.00009445
wait/synch/mutex/innodb/purge_sys_pq_mutex	175421	27.4659	0.00015657
wait/synch/mutex/innodb/dict_sys_mutex	526076	26.1695	0.00004974
wait/synch/mutex/innodb/trx_undo_mutex	350861	25.9299	0.00007390
wait/synch/sxlock/innodb/rsegs_lock	132146	24.7422	0.00018723
wait/synch/mutex/innodb/dict_table_mutex	350935	23.3528	0.00006654
wait/synch/sxlock/innodb/undo_spaces_lock	109451	22.7632	0.00020798
wait/synch/mutex/innodb/trx_sys_serialisation_mutex	176010	21.9775	0.00012486
wait/synch/mutex/innodb/autoinc_persisted_mutex	87589	15.7880	0.00018025
wait/synch/mutex/innodb/autoinc_mutex	87598	10.7277	0.00012246
wait/synch/mutex/innodb/alter_stage_mutex	83020	5.3734	0.00006472
wait/synch/mutex/innodb/temp_space_rseg_mutex	30336	4.0013	0.00013190
wait/synch/mutex/innodb/flush_list_mutex	39067	3.6132	0.00009249
wait/synch/mutex/innodb/buf_pool_flush_state_mutex	26248	2.1995	0.00008380
wait/synch/mutex/innodb/parallel_read_mutex	150	1.8597	0.01239792
wait/synch/mutex/innodb/buf_pool_free_list_mutex	10338	1.6808	0.00016259
wait/synch/sxlock/innodb/fil_space_latch	20514	1.6562	0.00008073
wait/synch/mutex/innodb/log_flush_notifier_mutex	12572	1.4515	0.00011545
wait/synch/mutex/innodb/log_governor_mutex	5523	1.1803	0.00021371
wait/synch/mutex/innodb/dblwr_mutex	13282	0.8049	0.00006060
wait/synch/mutex/innodb/log_limits_mutex	5773	0.6591	0.00011416
wait/synch/mutex/innodb/buf_pool_LRU_list_mutex	5308	0.4108	0.00007739
wait/synch/mutex/innodb/recalc_pool_mutex	49	0.2421	0.00493981
wait/synch/mutex/innodb/page_cleaner_mutex	368	0.0337	0.00009153
wait/synch/mutex/innodb/row_drop_list_mutex	60	0.0221	0.00036824
wait/synch/mutex/innodb/log_checkpointer_mutex	69	0.0216	0.00031368
wait/synch/mutex/innodb/ibuf_mutex	60	0.0121	0.00020243
wait/synch/mutex/innodb/trx_pool_mutex	94	0.0080	0.00008480
wait/synch/mutex/innodb/trx_pool_manager_mutex	47	0.0051	0.00010795
wait/synch/sxlock/innodb/dict_table_stats	27	0.0041	0.00015183
wait/synch/mutex/innodb/dict_persist_dirty_tables_mutex	9	0.0031	0.00034150
wait/synch/mutex/innodb/parser_mutex	40	0.0027	0.00006663
wait/synch/mutex/innodb/page_sys_arch_oper_mutex	9	0.0023	0.00025451
wait/synch/sxlock/innodb/dict_operation_lock	6	0.0014	0.00023326
wait/synch/mutex/innodb/srv_innodb_monitor_mutex	2	0.0007	0.00033556
