run	tps	qps	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	215.13	4302.61	18.59	5.28	4.21	1989.13	NA	0.00
2	206.13	4122.55	19.37	5.37	4.20	1264.73	NA	0.00
3	216.72	4334.47	18.39	5.28	4.21	1941.57	NA	0.00
4	215.21	4304.28	18.51	5.37	4.18	1528.00	NA	0.00
5	209.69	4193.73	19.07	5.37	4.20	1428.19	NA	0.00
6	224.62	4492.42	17.75	5.28	4.22	1254.88	NA	0.00
7	184.64	3692.77	21.66	5.37	4.33	1948.68	NA	0.00
8	215.97	4319.35	18.44	5.28	4.18	1478.14	NA	0.00
9	213.55	4271.06	18.73	5.28	4.27	1338.13	NA	0.00
10	213.22	4264.38	18.76	5.28	4.32	1636.37	NA	0.00
