run	tps	qps	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	205.82	4116.31	19.42	5.28	4.09	1375.11	NA	0.00
2	216.89	4337.74	18.39	5.37	4.19	1638.26	NA	0.00
3	220.73	4414.70	18.03	5.28	4.34	1439.42	NA	0.00
4	212.76	4255.29	18.69	5.28	4.09	1405.21	NA	0.00
5	221.13	4422.51	18.08	5.28	4.21	1693.40	NA	0.00
6	212.23	4244.69	18.85	5.28	4.16	1405.53	NA	0.00
7	203.71	4074.20	19.54	5.47	4.23	1356.30	NA	0.00
8	221.29	4425.77	18.07	5.28	4.26	1538.77	NA	0.00
9	205.69	4113.86	19.45	5.37	4.28	1606.61	NA	0.00
10	193.36	3867.20	20.69	5.28	4.24	5277.87	NA	0.00
