server	variant	threads	multiplier	round	tps	lat_avg_ms	lat_p95_ms
broadwell-xl170	large-multiplier	8	10	3	954.99	8.37	31.37
broadwell-xl170	large-multiplier	8	25	3	911.87	8.77	33.72
broadwell-xl170	large-multiplier	8	50	3	938.76	8.52	31.94
broadwell-xl170	large-multiplier	8	75	3	935.14	8.55	32.53
broadwell-xl170	large-multiplier	8	100	3	977.12	8.18	30.26
broadwell-xl170	large-multiplier	8	150	3	922.21	8.67	32.53
broadwell-xl170	large-multiplier	8	200	3	889.21	8.99	34.33
broadwell-xl170	large-multiplier	8	300	3	955.90	8.36	31.37
broadwell-xl170	large-multiplier	8	500	3	950.28	8.41	31.37
broadwell-xl170	large-multiplier	8	0	4	926.88	8.63	32.53
broadwell-xl170	large-multiplier	8	5	4	932.77	8.57	31.94
broadwell-xl170	large-multiplier	8	10	4	917.52	8.72	33.72
broadwell-xl170	large-multiplier	8	25	4	995.59	8.03	29.19
broadwell-xl170	large-multiplier	8	50	4	921.25	8.68	33.12
broadwell-xl170	large-multiplier	8	75	4	947.68	8.44	31.37
broadwell-xl170	large-multiplier	8	100	4	924.00	8.65	33.12
broadwell-xl170	large-multiplier	8	150	4	896.34	8.92	33.72
broadwell-xl170	large-multiplier	8	200	4	928.02	8.62	32.53
broadwell-xl170	large-multiplier	8	300	4	901.14	8.87	33.72
broadwell-xl170	large-multiplier	8	500	4	893.82	8.95	33.72
broadwell-xl170	large-multiplier	8	0	5	946.83	8.45	31.37
broadwell-xl170	large-multiplier	8	5	5	934.30	8.56	31.94
broadwell-xl170	large-multiplier	8	10	5	907.16	8.82	33.72
broadwell-xl170	large-multiplier	8	25	5	929.74	8.60	32.53
broadwell-xl170	large-multiplier	8	50	5	941.00	8.50	32.53
broadwell-xl170	large-multiplier	8	75	5	826.28	9.68	38.25
broadwell-xl170	large-multiplier	8	100	5	883.89	9.05	34.33
broadwell-xl170	large-multiplier	8	150	5	925.80	8.64	32.53
broadwell-xl170	large-multiplier	8	200	5	938.72	8.52	31.94
broadwell-xl170	large-multiplier	8	300	5	963.44	8.30	31.37
broadwell-xl170	large-multiplier	8	500	5	929.81	8.60	32.53
broadwell-xl170	large-multiplier	16	0	1	758.23	21.08	69.29
broadwell-xl170	large-multiplier	16	5	1	753.92	21.22	69.29
broadwell-xl170	large-multiplier	16	10	1	762.86	20.96	69.29
broadwell-xl170	large-multiplier	16	25	1	766.69	20.86	68.05
broadwell-xl170	large-multiplier	16	50	1	761.49	21.00	69.29
broadwell-xl170	large-multiplier	16	75	1	757.10	21.13	69.29
broadwell-xl170	large-multiplier	16	100	1	757.54	21.11	70.55
broadwell-xl170	large-multiplier	16	150	1	758.74	21.08	69.29
broadwell-xl170	large-multiplier	16	200	1	760.67	21.02	69.29
broadwell-xl170	large-multiplier	16	300	1	762.12	20.99	69.29
broadwell-xl170	large-multiplier	16	500	1	752.14	21.26	69.29
broadwell-xl170	large-multiplier	16	0	2	749.22	21.35	69.29
broadwell-xl170	large-multiplier	16	5	2	759.88	21.05	69.29
broadwell-xl170	large-multiplier	16	10	2	760.65	21.03	69.29
broadwell-xl170	large-multiplier	16	25	2	691.95	23.12	77.19
broadwell-xl170	large-multiplier	16	50	2	765.16	20.91	68.05
broadwell-xl170	large-multiplier	16	75	2	747.61	21.39	71.83
broadwell-xl170	large-multiplier	16	100	2	753.56	21.22	69.29
broadwell-xl170	large-multiplier	16	150	2	757.12	21.13	70.55
broadwell-xl170	large-multiplier	16	200	2	750.53	21.30	71.83
broadwell-xl170	large-multiplier	16	300	2	755.43	21.17	70.55
broadwell-xl170	large-multiplier	16	500	2	746.56	21.43	71.83
broadwell-xl170	large-multiplier	16	0	3	752.04	21.27	71.83
broadwell-xl170	large-multiplier	16	5	3	747.98	21.37	71.83
broadwell-xl170	large-multiplier	16	10	3	753.96	21.21	70.55
broadwell-xl170	large-multiplier	16	25	3	758.06	21.10	71.83
broadwell-xl170	large-multiplier	16	50	3	786.46	20.33	69.29
broadwell-xl170	large-multiplier	16	75	3	762.10	20.99	70.55
broadwell-xl170	large-multiplier	16	100	3	746.54	21.42	73.13
broadwell-xl170	large-multiplier	16	150	3	747.86	21.39	73.13
broadwell-xl170	large-multiplier	16	200	3	746.82	21.42	71.83
broadwell-xl170	large-multiplier	16	300	3	737.44	21.68	74.46
broadwell-xl170	large-multiplier	16	500	3	738.99	21.65	73.13
broadwell-xl170	large-multiplier	16	0	4	718.34	22.26	74.46
broadwell-xl170	large-multiplier	16	5	4	708.58	22.58	74.46
broadwell-xl170	large-multiplier	16	10	4	705.02	22.69	75.82
broadwell-xl170	large-multiplier	16	25	4	666.80	23.99	80.03
