run	tps	qps	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	566.50	11330.03	56.05	397.39	4.34	2163.86	NA	0.00
2	558.33	11166.52	57.24	383.33	4.26	2128.46	NA	0.00
3	548.53	10970.56	58.33	411.96	4.26	1828.76	NA	0.00
4	511.33	10226.58	62.44	450.77	4.31	1927.73	NA	0.00
5	477.76	9555.24	66.57	450.77	4.27	2096.65	NA	0.00
6	542.49	10849.83	58.70	390.30	4.25	1981.60	NA	0.00
7	541.92	10838.36	58.21	397.39	4.31	2146.38	NA	0.00
8	522.06	10441.30	60.68	434.83	4.35	1632.46	NA	0.00
9	552.60	11052.04	57.90	419.45	4.35	2008.86	NA	0.00
10	579.58	11591.61	55.21	383.33	4.35	2817.73	NA	0.00
