run	tps	qps	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	346.19	6923.89	23.11	6.79	4.33	2171.88	NA	0.00
2	336.97	6739.31	23.59	41.85	4.23	1562.68	NA	0.00
3	333.42	6668.42	23.96	43.39	4.15	2202.93	NA	0.00
4	327.13	6542.62	24.44	66.84	4.29	1678.28	NA	0.00
5	316.17	6323.44	25.19	49.21	4.29	1505.22	NA	0.00
6	325.44	6508.87	24.54	49.21	4.21	2491.40	NA	0.00
7	332.29	6645.88	23.95	30.26	4.28	1701.67	NA	0.00
8	339.59	6791.84	23.53	42.61	4.12	2377.17	NA	0.00
9	348.41	6968.12	22.87	19.65	4.34	1257.72	NA	0.00
10	357.93	7158.64	22.23	6.55	4.30	1879.30	NA	0.00
