run	tps	qps	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	182.09	3641.82	21.96	33.12	4.21	1487.98	NA	0.00
2	201.40	4027.99	19.79	18.28	4.10	1340.09	NA	0.00
3	210.01	4200.13	18.93	5.37	4.36	1448.20	NA	0.00
4	217.32	4346.45	18.40	5.37	4.21	1774.64	NA	0.00
5	177.01	3540.28	22.51	5.47	4.35	1500.06	NA	0.00
6	203.06	4061.29	19.68	5.37	4.24	1471.14	NA	0.00
7	200.03	4000.57	19.95	5.37	4.09	1811.70	NA	0.00
8	223.38	4467.62	17.81	5.37	4.06	1308.77	NA	0.00
9	195.24	3904.88	20.49	5.37	4.18	1840.83	NA	0.00
10	219.22	4384.39	18.22	5.37	4.30	1361.50	NA	0.00
