run	tps	qps	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	450.86	9017.26	35.23	158.63	4.29	2461.14	NA	0.00
2	415.34	8306.70	38.12	227.40	4.36	1788.78	NA	0.00
3	471.68	9433.60	33.90	215.44	4.27	2524.65	NA	0.00
4	484.31	9686.26	33.03	132.49	4.22	2189.47	NA	0.00
5	368.28	7365.57	43.27	297.92	4.37	2086.05	NA	0.00
6	416.85	8336.99	38.38	244.38	4.36	1690.91	NA	0.00
7	397.69	7953.83	40.13	272.27	4.21	2877.42	NA	0.00
8	442.99	8859.84	35.77	173.58	4.36	2811.23	NA	0.00
9	401.49	8029.77	39.78	277.21	4.23	1966.10	NA	0.00
10	453.00	9059.94	35.04	186.54	4.27	3373.51	NA	0.00
