run	tps	qps	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	588.05	11760.98	54.24	390.30	4.37	1772.71	NA	0.00
2	512.56	10251.12	62.43	427.07	4.21	2056.10	NA	0.00
3	467.43	9348.52	67.73	458.96	4.31	2151.53	NA	0.00
4	533.69	10673.81	59.49	397.39	4.29	2359.50	NA	0.00
5	524.88	10497.52	60.71	404.61	4.37	2075.08	NA	0.00
6	581.99	11639.75	54.69	397.39	4.35	2207.76	NA	0.00
7	585.68	11713.58	54.60	397.39	4.37	2318.56	NA	0.00
8	585.15	11703.02	54.68	383.33	4.31	2229.26	NA	0.00
9	568.55	11371.00	55.44	390.30	4.36	1533.86	NA	0.00
10	551.06	11021.17	58.02	404.61	4.36	2354.52	NA	0.00
