run	tps	qps	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	310.14	6202.72	25.79	61.08	4.34	2039.78	NA	0.00
2	345.41	6908.25	23.16	21.11	4.22	2266.79	NA	0.00
3	349.28	6985.52	22.72	16.71	4.10	1551.60	NA	0.00
4	320.22	6404.46	24.85	57.87	4.22	1841.32	NA	0.00
5	367.52	7350.46	21.65	6.55	4.29	1887.66	NA	0.00
6	336.91	6738.12	23.74	61.08	4.10	1216.28	NA	0.00
7	349.40	6988.05	22.89	7.56	4.16	2416.26	NA	0.00
8	330.85	6617.07	23.91	35.59	4.12	1441.06	NA	0.00
9	323.89	6477.86	24.55	46.63	4.19	2314.62	NA	0.00
10	334.25	6685.02	23.93	25.74	4.33	2751.58	NA	0.00
