run	tps	qps	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	321.10	6422.07	24.91	45.79	4.29	1521.59	NA	0.00
2	300.94	6018.73	26.51	65.65	4.29	1626.86	NA	0.00
3	311.91	6238.16	25.65	58.92	4.26	1836.13	NA	0.00
4	330.88	6617.52	24.18	23.95	4.12	1758.78	NA	0.00
5	307.37	6147.34	26.03	78.60	4.21	1695.98	NA	0.00
6	330.99	6619.86	24.17	44.17	4.24	1506.91	NA	0.00
7	336.11	6722.25	23.79	34.33	4.07	1853.13	NA	0.00
8	302.19	6043.84	26.47	66.84	4.17	2414.42	NA	0.00
9	353.98	7079.57	22.57	27.17	4.34	1452.54	NA	0.00
10	333.74	6674.76	23.97	14.46	4.16	2351.94	NA	0.00
